relative_path,category,size_bytes,sha256,modified_utc
NLPP/NLP Datasets/Datasets Create/Datasets Birleştirme/komutlar/command_4.json,dataset_or_tokenizer,99961,f9863e8fd5113587f814f64d8e6f3c92828c1f110628f897fb806dc1fa408ce1,2025-05-24T21:20:09.685836+00:00
NLPP/NLP Datasets/Datasets Create/Datasets Birleştirme/komutlar/command_5.json,dataset_or_tokenizer,47670,4c38f9790c172952672712373a822a040848853344254c8727600001c692aa6e,2025-05-11T18:12:10.618473+00:00
NLPP/NLP Datasets/Datasets Create/Datasets Birleştirme/komutlar/command_6.json,dataset_or_tokenizer,42362,dc91ad523d85c784ff8881c794e2d7f4369acdf5ebb2e927d25fd676fcde23b2,2025-05-11T18:16:56.384031+00:00
NLPP/NLP Datasets/Datasets Create/Datasets Birleştirme/komutlar/command_7.json,dataset_or_tokenizer,42978,27c272a7598fbc3ae74f1c54c773795bf1bc80137fbde6ca96785dcf3a820fb2,2025-05-11T18:12:43.373301+00:00
NLPP/NLP Datasets/Datasets Create/Datasets Birleştirme/komutlar/command_8.json,dataset_or_tokenizer,44992,ba8a50bc78c0b3dce588d44827d5a3d61a127e89497c642fdf5d75ffe7da3b60,2025-05-11T18:50:09.898356+00:00
NLPP/NLP Datasets/Datasets Create/Datasets Birleştirme/tırnak işareti kaldır.py,training_or_test_code,659,1e56b8ee619dd5272b0deaeb5f335d28aaed4befab7d6269d61d927cdf8a2805,2025-05-25T12:57:24.514094+00:00
NLPP/NLP Datasets/Datasets Create/Datasets Birleştirme/tırnaklı_Passenger_bot_dataset.json,dataset_or_tokenizer,2102067,457c826fed1ac5952f4304d896f215cab3a1213b6fd36f45555ba340fd976cba,2025-05-25T11:34:08.822813+00:00
NLPP/NLP Datasets/Datasets Create/Datasets Birleştirme/yeni.json,dataset_or_tokenizer,1584862,8b40f7c37930a456cbb3d36178328e7896f89bddcc4b4421a93983d5643f9789,2025-05-25T11:14:37.599389+00:00
NLPP/NLP Datasets/Datasets Create/Datasets Birleştirme/önemli.txt,documentation_or_visual_evidence,435,43f6f503f6d37feeb6ba866b3242aa142430f7bb4b9a3cb396d5547bf50d4243,2025-05-11T20:29:33.043401+00:00
NLPP/NLP Datasets/Datasets Create/Labels data create with code/camera_dataset.json,dataset_or_tokenizer,42294,7bb4367067dd9ce747ad02a59245f7cc5e10edcf824a23a5b8e176b6175cda04,2025-05-24T20:51:42.658840+00:00
NLPP/NLP Datasets/Datasets Create/Labels data create with code/detect.py,training_or_test_code,1736,097e5d31167aeaab04ec4de9bd77d48c95285e33e64486ff17bb031daa0a5355,2025-05-24T21:10:44.212169+00:00
NLPP/NLP Datasets/Datasets Create/Labels data create with code/object_detection_dataset.json,dataset_or_tokenizer,50543,71c367687875b541cbc5823e9238c3716a9aa02beff86ab1882d4e03ba37764d,2025-05-24T21:11:13.921003+00:00
NLPP/NLP Datasets/Datasets Create/Labels data create with code/open_close_camera.py,training_or_test_code,1836,21ddc568be6d286fcc45ddbbd977f535ac8844569b7cfea6939e7e4bcd0cb489,2025-05-24T20:50:46.316723+00:00
NLPP/NLP Datasets/Datasets Create/Labels data create with code/photo_dataset.json,dataset_or_tokenizer,46145,8c7c46d486a2427db0094d541fab6b1895b96f7cd607a76fd8b42ec7531e3c28,2025-05-24T21:04:32.379069+00:00
NLPP/NLP Datasets/Datasets Create/Labels data create with code/take_photo.py,training_or_test_code,1560,d2ff72563ac3bcb7838c94d62bb5be9cc6025e1cb532ef248f40ea54b096c004,2025-05-24T21:04:30.630512+00:00
NLPP/NLP Datasets/komutlar/command_1.json,dataset_or_tokenizer,112759,73d46cc0efa16c662dcf5a81bda333a60f5061fbf7eaad0180b051d4195a8206,2025-05-24T21:16:11.025123+00:00
NLPP/NLP Datasets/komutlar/command_2.json,dataset_or_tokenizer,71260,1da119171e4c9c066371c5a5e7221bab5c4621b75eb44b7c939d6882fdc81523,2025-05-24T21:17:16.176461+00:00
NLPP/NLP Datasets/komutlar/command_3.json,dataset_or_tokenizer,94016,eba103c1ea015ecc125311b3192f112dd26870866c835204825eca5cfe93b13a,2025-05-24T21:19:19.788146+00:00
NLPP/NLP Datasets/komutlar/command_4.json,dataset_or_tokenizer,99961,f9863e8fd5113587f814f64d8e6f3c92828c1f110628f897fb806dc1fa408ce1,2025-05-24T21:20:09.685836+00:00
NLPP/NLP Datasets/komutlar/command_5.json,dataset_or_tokenizer,47670,4c38f9790c172952672712373a822a040848853344254c8727600001c692aa6e,2025-05-11T18:12:10.618473+00:00
NLPP/NLP Datasets/komutlar/command_6.json,dataset_or_tokenizer,42362,dc91ad523d85c784ff8881c794e2d7f4369acdf5ebb2e927d25fd676fcde23b2,2025-05-11T18:16:56.384031+00:00
NLPP/NLP Datasets/komutlar/command_7.json,dataset_or_tokenizer,42978,27c272a7598fbc3ae74f1c54c773795bf1bc80137fbde6ca96785dcf3a820fb2,2025-05-11T18:12:43.373301+00:00
NLPP/NLP Datasets/komutlar/command_8.json,dataset_or_tokenizer,44992,ba8a50bc78c0b3dce588d44827d5a3d61a127e89497c642fdf5d75ffe7da3b60,2025-05-11T18:50:09.898356+00:00
NLPP/NLP Datasets/passenger_bot_dataset.json,dataset_or_tokenizer,2599200,48baa144e66ba4d72fb203fba447b1df45fc077c4122b2d6a8bbfe7b12105f2a,2025-05-29T09:46:30.160027+00:00
NLPP/NLP Datasets/test komutları/command_1.json,dataset_or_tokenizer,9957,a03a63f34a093c2f3882e5cf672b036d7d35a789d029533c8f18e50532b353e2,2025-05-25T17:27:40.640359+00:00
NLPP/NLP Datasets/test komutları/command_2.json,dataset_or_tokenizer,11996,de852820f1ade5dfbc51e854787efdce0486c5ea34d750eb7d38f56537d502f2,2025-05-25T17:32:08.466865+00:00
NLPP/NLP Datasets/test komutları/command_3.json,dataset_or_tokenizer,11375,69dab710278ed7b8d602c83d2d6bc063e82695ec41ef8a664383e662b90dc7e1,2025-05-25T17:46:00.884446+00:00
NLPP/NLP Datasets/test komutları/command_4.json,dataset_or_tokenizer,26049,4118d182bb61801f2d83a48060e997b82671b6bf45654aaf7fb7d74499a0358e,2025-05-25T17:58:30.284162+00:00
NLPP/NLP Datasets/test komutları/command_5.json,dataset_or_tokenizer,16610,cdc6226cd3ed21571b05e45cb148054a608080c3943d6c388bccea4918584783,2025-05-25T18:11:23.459561+00:00
NLPP/NLP Datasets/test.json,dataset_or_tokenizer,394322,51d16461407f802948f2898d2e6ed76951bb1b22ead61cd702e12f4b06a89eaa,2025-05-25T18:19:16.464360+00:00
NLPP/NLPP_DOSYA_VE_GOREV_REHBERI.md,documentation_or_visual_evidence,23104,ab9298e5820c2aca3647dae2e0ff0c9ac7a68a877a2cf737090e270516e62572,2026-08-15T16:26:22.188209+00:00
Passenger Prompt System/chrome_launcher.py,training_or_test_code,804,4b036571d3e7cc1318385f2ae9d7f7a56d5197efc8e17e404dcbaf0d1ea18682,2026-02-26T11:36:59.987684+00:00
Passenger Prompt System/config.json,configuration_or_metric,876,f41febaa6fd2831568248730a0d775f7753a1bb8afb6344b48eda6f47c6aaf32,2026-02-26T12:15:09.896376+00:00
Passenger Prompt System/main.py,training_or_test_code,767,9ef5e1f22eb3c9ee45277606451a9112256333071dc2f4fa4fd8ea6dc39b63b5,2026-02-26T11:58:24.761591+00:00
Passenger Prompt System/orchestrator.py,training_or_test_code,5916,ec67891a2500e53f034c2cd86f5e4b7cafdee9a7d549ad76f146dacdb6815308,2026-02-26T12:19:58.664940+00:00
Passenger Prompt System/PASSENGER_PROMPT_SYSTEM_REHBERI.md,documentation_or_visual_evidence,15856,e230ea920f07a8b14f54c257c8176752ed46eff15c4770db38f3912444cebf5d,2026-08-15T16:32:18.351507+00:00
Passenger Prompt System/proje/chrome_launcher.py,training_or_test_code,804,4b036571d3e7cc1318385f2ae9d7f7a56d5197efc8e17e404dcbaf0d1ea18682,2026-02-26T11:36:59.987684+00:00
Passenger Prompt System/proje/config.json,configuration_or_metric,876,f41febaa6fd2831568248730a0d775f7753a1bb8afb6344b48eda6f47c6aaf32,2026-02-26T12:15:09.896376+00:00
Passenger Prompt System/proje/main.py,training_or_test_code,767,9ef5e1f22eb3c9ee45277606451a9112256333071dc2f4fa4fd8ea6dc39b63b5,2026-02-26T11:58:24.761591+00:00
Passenger Prompt System/proje/orchestrator.py,training_or_test_code,4591,568407c2c1d5841162c6a74212a7f80ce319589ca65d6bcd52369de412a01607,2026-02-26T12:15:05.921032+00:00
Passenger Prompt System/proje/readme.txt,documentation_or_visual_evidence,103,45e55178b4d2875560fe0d0cf18ca47371df7af6a3a76e034d892018d17e6350,2026-02-26T10:44:04.580203+00:00
Passenger Prompt System/proje/requirements.txt,documentation_or_visual_evidence,51,134da2f9738addebf1b6e6fc330ed99a6a121088f93a25fd7b5713bf80b08afa,2026-02-26T11:07:07.402909+00:00
Passenger Prompt System/proje/server.py,training_or_test_code,1377,be16e803db31dd5ff1173dfb914a2f96bc6916fb4a6c45f03d343663a8c1db32,2026-02-26T10:19:09.325186+00:00
Passenger Prompt System/proje/utils.py,training_or_test_code,378,1f4f186d7957e8f6af14a2f683de1edb0a8035bd4f0d24bc074cdf57ad3c5f66,2026-02-26T10:16:37.119988+00:00
Passenger Prompt System/readme.txt,documentation_or_visual_evidence,103,45e55178b4d2875560fe0d0cf18ca47371df7af6a3a76e034d892018d17e6350,2026-02-26T10:44:04.580203+00:00
Passenger Prompt System/requirements.txt,documentation_or_visual_evidence,51,134da2f9738addebf1b6e6fc330ed99a6a121088f93a25fd7b5713bf80b08afa,2026-02-26T11:07:07.402909+00:00
Passenger Prompt System/server.py,training_or_test_code,1377,be16e803db31dd5ff1173dfb914a2f96bc6916fb4a6c45f03d343663a8c1db32,2026-02-26T10:19:09.325186+00:00
Passenger Prompt System/utils.py,training_or_test_code,378,1f4f186d7957e8f6af14a2f683de1edb0a8035bd4f0d24bc074cdf57ad3c5f66,2026-02-26T10:16:37.119988+00:00
Primee/Classification Model MiniLM-L6/dataset/labels.json,dataset_or_tokenizer,118,28a08469574d85d89fef59cc7a5ce75eb94adc18a736fff33a2ed3ab581af78d,2025-09-11T20:41:50.861782+00:00
Primee/Classification Model MiniLM-L6/dataset/test.jsonl,dataset_or_tokenizer,60233,49bcf6ac16d9a9fc0d3ec9eb16ad2ae44443813fdaeeff876adc97e11f9bd086,2025-09-11T20:41:50.861782+00:00
Primee/Classification Model MiniLM-L6/dataset/train-valid-test-ayırma_kodu.py,training_or_test_code,3774,32e33c63c3abccdab565e0938401687807dc7c04ef82407ce73460ffa04596cf,2025-09-11T20:41:43.870686+00:00
Primee/Classification Model MiniLM-L6/dataset/train.jsonl,dataset_or_tokenizer,483783,923fc9524ff70b417d5cb86f150029f03da5bdca606d91a671e90d65c6bfec01,2025-09-11T20:42:42.015464+00:00
Primee/Classification Model MiniLM-L6/dataset/valid.jsonl,dataset_or_tokenizer,59979,47445f5b761824ab2c85262945a902489a60a62fa24ddf37690fedb48602f697,2025-09-11T20:41:50.859778+00:00
Primee/Classification Model MiniLM-L6/intent_classifier_minilm_cpu.ipynb,training_or_test_code,65281,b47f08f06e0438f0d2db0aa79e1a61d0de683b192cfd756f8d6e88f69272849d,2025-09-12T08:04:10.780111+00:00
Primee/Classification Model MiniLM-L6/model/best/config.json,configuration_or_metric,946,9767f19f9fdb9513405e5609056c7d27133077a0dd0d250c3ca503bbd6b85fdd,2025-09-11T20:57:01.343469+00:00
Primee/Classification Model MiniLM-L6/model/best/special_tokens_map.json,dataset_or_tokenizer,125,b6d346be366a7d1d48332dbc9fdf3bf8960b5d879522b7799ddba59e76237ee3,2025-09-11T20:57:07.555571+00:00
Primee/Classification Model MiniLM-L6/model/best/tokenizer.json,dataset_or_tokenizer,711493,d542861653d0d204783c94395fdf32eef9e800d5fa565a2892c3f1375aa835e9,2025-09-11T20:57:10.115004+00:00
Primee/Classification Model MiniLM-L6/model/best/tokenizer_config.json,dataset_or_tokenizer,1272,7b082b48a08a0b5c5939d99472e33addce3d96202155e33f7928cecd171186a0,2025-09-11T20:57:08.925193+00:00
Primee/Classification Model MiniLM-L6/model/best/vocab.txt,documentation_or_visual_evidence,231508,07eced375cec144d27c900241f3e339478dec958f92fddbc551f295c992038a3,2025-09-11T20:57:11.994331+00:00
Primee/Classification Model MiniLM-L6/model/inference_minilm-l6.py,training_or_test_code,1759,0f0c02006ded50590d9ba7fb270e6879d65d3bdea0b97570f8c0ff08ec907ca9,2025-09-11T21:14:47.993612+00:00
Primee/Classification Model MiniLM-L6/model/intent-minilm-int8.onnx,model_artifact,23723120,d7f85b2e936c3f70539297162af47944af8559216cc5419ea38398ece0693b1d,2025-09-11T20:56:20.102801+00:00
Primee/Classification Model MiniLM-L6/model/Results/Loss and metrics.txt,documentation_or_visual_evidence,748,50a1d4bf899706064d0e3d902ba5903c659fa29003a8120b529a88c3bc829c29,2025-09-12T08:05:28.790085+00:00
Primee/Classification Model MiniLM-L6/model/Results/output.png,documentation_or_visual_evidence,32941,887a010aa712ee08c118f599f1347f26742a14a72166a6c185a72c8f8872d015,2025-09-12T08:05:36.450042+00:00
Primee/Classification Model MiniLM-L6/model/Results/Train valid loss.png,documentation_or_visual_evidence,21097,5e39ac44c358170905f5cddc74e4978fcbaf882a8c964c2a0e767c193617092c,2025-09-12T08:06:26.806160+00:00
Primee/Classification Model MiniLM-L6/onnx çalıştırmak için gerekli.png,documentation_or_visual_evidence,73731,85de4cae0922ce9829f888d421e0bb0cb8968e7017a6ca3453b66a1a748a3358,2025-09-11T19:26:50.474017+00:00
Primee/Classification Model MiniLM-L6/onnx_and_int8-quantization_for_MiniLM-L6.py,training_or_test_code,4157,54674ddde3a327863579c50110dcf2c07c5b79a184fa4a4d69464a19ea851db3,2025-09-11T17:29:10.012017+00:00
Primee/DOSYA_VE_KLASOR_GOREV_REHBERI.md,documentation_or_visual_evidence,23314,d6919cdd77e3649a3ba3c2afae3ab2fca014afbe061623accd6a791f0f83b393,2026-08-15T16:36:57.291828+00:00
Primee/gmail.png,documentation_or_visual_evidence,90357,3f9dc183db70cfa2b51088f7b7f1041957c5e1b0d62bdc2e39cbec1b76dba634,2025-09-24T15:38:40.618881+00:00
Primee/LLM Datasets/BEST DATA/BEST_ever_Chat_Rag.jsonl,dataset_or_tokenizer,115839790,47c3e4105ba2aabb925b5c9c9dcc7977275599b55a8d7038e0ba998b72f971a0,2025-08-13T18:02:15.379401+00:00
Primee/LLM Datasets/BEST DATA/BEST_mix_chat_50k.jsonl,dataset_or_tokenizer,62285126,b312a7cf006c92b7deb8a835e88747bc7ca83c9bccffda6c08e5acccf0ccf34d,2025-08-13T14:03:31.441327+00:00
